epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.436,0.39342,0.89388,0.36361,0.87576,0.92841,0.74516,0.77675,0.73617,0.92677,0.74446,0.77658,0.67082,0.36502,0.96126,0.39037,0.82757,0.0667841,9.99475e-05,9.99475e-05
2,1093.53,0.37333,0.81875,0.31906,0.86998,0.97813,0.77874,0.78951,0.76818,0.97838,0.7781,0.78849,0.69962,0.26024,0.71192,0.19749,0.77879,0.0335482,0.000197308,0.000197308
3,1627.33,0.36763,0.80448,0.31293,0.86787,0.98054,0.77762,0.78886,0.7655,0.97888,0.77707,0.78766,0.68999,0.25493,0.73526,0.20155,0.78286,0.000309545,0.000292029,0.000292029
4,2122.33,0.36836,0.80645,0.3128,0.8698,0.971,0.77863,0.7879,0.7664,0.981,0.7761,0.78859,0.69253,0.25625,0.76339,0.19644,0.78236,0.00028812,0.00028812,0.00028812
5,2598.1,0.36494,0.80068,0.30977,0.86961,0.9821,0.77839,0.79036,0.76939,0.98123,0.77777,0.78924,0.69267,0.25081,0.78907,0.19018,0.78008,0.00028416,0.00028416,0.00028416
6,3070.28,0.36654,0.80081,0.30783,0.86862,0.97035,0.77891,0.78811,0.76761,0.97106,0.77871,0.78765,0.69497,0.24635,0.71228,0.19,0.78058,0.0002802,0.0002802,0.0002802
7,3552.45,0.36048,0.78847,0.30418,0.86879,0.9824,0.77804,0.79013,0.76896,0.98063,0.77822,0.78927,0.69907,0.24636,0.74556,0.18506,0.77877,0.00027624,0.00027624,0.00027624
8,4032.02,0.35747,0.7901,0.30038,0.86811,0.98474,0.77903,0.79067,0.77012,0.98419,0.77879,0.79056,0.70262,0.2461,0.73814,0.18147,0.77886,0.00027228,0.00027228,0.00027228
9,4515.42,0.36013,0.7914,0.30232,0.86895,0.97197,0.7799,0.7902,0.77197,0.98232,0.77769,0.78949,0.69839,0.23923,0.72537,0.1782,0.77821,0.00026832,0.00026832,0.00026832
10,4997.43,0.35594,0.78402,0.29646,0.86595,0.98068,0.78001,0.78993,0.77052,0.98134,0.77983,0.79006,0.70266,0.2456,0.71248,0.18123,0.78127,0.00026436,0.00026436,0.00026436
11,5482.07,0.35504,0.78508,0.29628,0.86458,0.97951,0.78036,0.79058,0.77183,0.97903,0.78024,0.79063,0.69706,0.2344,0.74897,0.17234,0.77662,0.0002604,0.0002604,0.0002604
12,5958.81,0.35286,0.78187,0.29229,0.86584,0.98345,0.77972,0.79045,0.77184,0.98261,0.77938,0.78947,0.69994,0.23456,0.74786,0.16769,0.7766,0.00025644,0.00025644,0.00025644
13,6418.16,0.34858,0.78181,0.28769,0.86365,0.97747,0.78041,0.7902,0.7726,0.97907,0.7792,0.78988,0.69937,0.23074,0.73269,0.16419,0.77448,0.00025248,0.00025248,0.00025248
14,6879.64,0.34697,0.77495,0.28424,0.86199,0.98049,0.7807,0.79165,0.77487,0.98292,0.7796,0.79114,0.70196,0.2289,0.7136,0.16398,0.77482,0.00024852,0.00024852,0.00024852
15,7335.12,0.34949,0.78075,0.28555,0.86347,0.98075,0.7807,0.79143,0.77482,0.97969,0.78052,0.79066,0.69858,0.22478,0.74141,0.15964,0.77313,0.00024456,0.00024456,0.00024456
16,7794,0.34731,0.77231,0.28492,0.86406,0.98053,0.78076,0.79054,0.77412,0.98056,0.78076,0.78996,0.69884,0.22437,0.72134,0.16028,0.77379,0.0002406,0.0002406,0.0002406
17,8248.66,0.34448,0.76835,0.28203,0.86127,0.98334,0.78059,0.79181,0.775,0.98315,0.78047,0.79153,0.69985,0.22666,0.72749,0.15945,0.77406,0.00023664,0.00023664,0.00023664
18,8705.92,0.34535,0.76843,0.28273,0.86206,0.98605,0.7803,0.79236,0.77594,0.98715,0.7798,0.79181,0.70114,0.22306,0.75032,0.15512,0.77246,0.00023268,0.00023268,0.00023268
19,9164.28,0.34089,0.76608,0.27835,0.86227,0.97831,0.78112,0.79184,0.7756,0.98081,0.78048,0.79083,0.70158,0.22204,0.71785,0.15655,0.77314,0.00022872,0.00022872,0.00022872
20,9623.12,0.33719,0.75683,0.27317,0.85942,0.98538,0.78013,0.79197,0.77588,0.98576,0.7799,0.79134,0.70262,0.21787,0.7159,0.15504,0.77114,0.00022476,0.00022476,0.00022476
21,10084.1,0.34085,0.76454,0.27762,0.86158,0.98226,0.7807,0.79143,0.77572,0.98323,0.78053,0.79106,0.70181,0.21818,0.72298,0.15475,0.77099,0.0002208,0.0002208,0.0002208
22,10562.7,0.34014,0.76123,0.27473,0.85925,0.98696,0.7803,0.79236,0.77673,0.98771,0.78018,0.79175,0.70177,0.21712,0.72793,0.15089,0.77029,0.00021684,0.00021684,0.00021684
